Category,Troop,Focal,Species,Age,Sex,Month,Day,Year,Time,Side,Note
Eat,N,Gisela,Pcoq,10,M,7,13,2022,8:47:53,R,Eat peanut with right hand (given by care tech so Silas can be taken for vet appointment)
Eat,N,Gisela,Pcoq,10,M,7,14,2022,9:31:04,R,Eat chow from right hand
Eat,N,Gisela,Pcoq,10,M,7,14,2022,9:31:18,R,Eat chow from right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:02:01,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:03:21,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:05:35,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:08:16,R,Forage and eat with right hand
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:11:53,R,Grasp branch with right hand while foraging.
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:13:24,R,Grasp branch with right hand while foraging.
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:14:26,L,Grasp branch with left hand to eat from
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:17:58,L,Grasp branch with left hand on top and eat (grapevine)
Eat,X,Licinius,Lcat,29,M,6,29,2022,9:18:54,L,Grasp grapevine branch with left hand and eat.
Eat,X,Licinius,Lcat,29,M,6,29,2022,8:43:42,R,Grasp and eat maple leaf with right hand. Holding tree with 4 limbs total.
Eat,X,Licinius,Lcat,29,M,6,29,2022,8:33:57,L,Grasp and eat maple leaf with left hand. Holding tree with 4 limbs total.
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:04:31,L,Forage and eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:38:48,L,Eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:39:39,L,Eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:55:05,L,Eat unknown leaves with left hand
Eat,X,Licinius,Lcat,29,M,6,22,2022,9:29:50,R,Forage with right hand
Eat,X,Licinius,Lcat,29,M,6,22,2022,9:33:45,R,Forage with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:58:30,R,Forage with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,9:01:40,R,Forage with right hand
Eat,X,Licinius,Lcat,29,M,6,29,2022,8:34:17,R,Eat maple leaf with right hand. Holding tree with 4 limbs total.
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:38:04,R,Eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:39:05,R,Eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:39:52,R,Eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:55:41,R,Eat with right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:56:08,R,Eat from right hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:56:47,R,Eat from right hand
Eat,X,Licinius,Lcat,29,M,6,22,2022,9:33:10,L,Forage with left hand
Eat,X,Licinius,Lcat,29,M,6,22,2022,9:45:30,L,Forage with left hand
Eat,X,Licinius,Lcat,29,M,6,22,2022,9:47:44,L,Forage with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:58:32,L,Forage with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:36:58,L,Forage and eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:57:43,L,Forage and eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:58:13,L,Forage and eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:59:24,L,Forage and eat with left hand
Eat,X,Licinius,Lcat,29,M,7,5,2022,8:37:35,R,Forage and eat with right hand
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,14:50:59,R,Grab and eat chow with right hand
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,14:52:14,R,Grasp and eat chow with right hand.
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,14:52:40,R,Grasp and eat chow with right hand.
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,14:53:02,R,Grasp and eat chow with right hand.
Eat,Maddie,Maddie,Emon,16,F,6,29,2022,10:48:50,R,Grasp and eat chow with right hand.
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,15:01:21,L,Eat banana slice with left hand
Eat,Maddie,Maddie,Emon,16,F,6,28,2022,14:51:19,R,Eat chow out of right hand
